platform,title,clean_item_label,clip_id,sales_count,gross_amount,net_amount,avg_gross_per_sale,avg_net_per_sale,filename,format,clip_length,size,resolution,date_added,source_file,imported_at,row_hash,period_start,period_end
Clips4Sale,Cursed Cake Makes Greedy SSBBW Explode,Cursed Cake Makes Greedy SSBBW Explode,31534051,234,6548.1,3928.86,27.98,16.79,lady sublime cake stuffing overeating rapid growth weight gain button popping clips4sale.mov,mov,00:22:10,5746,3840x2160,2025-07-21 10:00:07,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,10f2b25d59e960e01ec97203fec39aa926e83d58e1f971a523df9a5b20bb6bb8,2025-04-17,2026-07-04
Clips4Sale,SSBBW Burps and Farts While Stuffing,SSBBW Burps and Farts While Stuffing,30943493,166,5807.23,3484.34,34.98,20.99,lady sublime ssbbw eating facestuffing taco overeating farts burps bloating gas -4k clips4sale.mov,mov,00:29:26,5727,3840x2160,2025-04-17 10:00:09,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,ea3f291bb4e46c59dd3a86e056856c9ba30b958dc72f3f7c7502c2ae2b371b83,2025-04-17,2026-07-04
Clips4Sale,Best Friend's Step-Mommy Shows You How to Please SSBBW,Best Friend's Step-Mommy Shows You How to Please SSBBW,33788719,155,4337.42,2602.45,27.98,16.79,lady_sublime_ssbbw_friends_mom_teases_rides_on_top_fat_chat_watermark_4k_clips4sale_260522002409.mov,mov,00:22:44,5667,3840x2160,2026-05-22 19:16:23,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,8e72f71ddb3845eada208ca77d111065fdfb97ba2a4f307c48007fd39e98c81c,2025-04-17,2026-07-04
Clips4Sale,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,32430185,84,2686.6,1611.96,31.98,19.19,lady_sublime_ssbbw_bitchy_thanksgiving_stuffing_burping_obese_fat_belly_rubbing_watermark_4k_cli_251,mov,00:27:11,5795,3840x2160,2025-12-01 22:30:21,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,cf054ccbea8f41a518012a985a2d88d3f21aa7c967161d2c010b594bf5097bd3,2025-04-17,2026-07-04
Clips4Sale,Growing SSBBW Ex Rides You POV,Growing SSBBW Ex Rides You POV,32593851,111,2440.15,1464.09,21.98,13.19,lady_sublime_christmas_fat_chat_pov_fucking_riding_fat_belly_watermark_4k_clips4sale_251227175807.mo,mov,00:23:36,5712,3840x2160,2025-12-27 23:08:20,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,d15d2f07dde183d98305bb8cd83292f5b51b07c0f00e9eb3adc1dbac8b7e75a3,2025-04-17,2026-07-04
Clips4Sale,Horny SSBBW Neighbor Wants Your Baby POV,Horny SSBBW Neighbor Wants Your Baby POV,31325075,112,2350.13,1410.08,20.98,12.59,lady sublime ssbbw impregnation fantasy breeding lingerie neighbor roleplay  clips4sale.mov,mov,00:11:14,5694,3840x2160,2025-06-16 22:04:16,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,631c247a25c94b4493e21bf6af39ffecc045b3c7fff629f5a6bcef88761cb467,2025-04-17,2026-07-04
Clips4Sale,Gassy SSBBW Giantess Vores You,Gassy SSBBW Giantess Vores You,32818231,77,1923.72,1154.23,24.98,14.99,lady_sublime_ssbbw_giantess_vore_burping_farting_fat_POV_watermark_4k_clips4sale_260129180050.mov,mov,00:12:00,5652,3840x2160,2026-01-30 00:26:07,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,31687cbc9138a319b30168fdbe22bc36a2c5214a4edf755a5ccab9c945946f01,2025-04-17,2026-07-04
Clips4Sale,Your Gluttonous Girlfriend Can't Hold Back Farts,Your Gluttonous Girlfriend Can't Hold Back Farts,33118559,95,1898.42,1139.05,19.98,11.99,lady_sublime_ssbbw_burps_and_farts_food_stuffing_overeating_gassy_watermark_4k_clips4sale_2603082150,mov,00:12:46,5743,3840x2160,2026-03-11 10:00:07,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,0e6f7da657697ada86904ba9c3e2f1d7f0ea83a9d6dc6060238477d14910b188,2025-04-17,2026-07-04
Clips4Sale,SSBBW Stuffs in the Car Until Stuck,SSBBW Stuffs in the Car Until Stuck,30931393,63,1825.95,1095.57,28.98,17.39,lady sublime ssbbw eating in car food stuffing too big oversized -4k clips4sale.mov,mov,00:36:09,5771,3840x2160,2025-04-14 23:54:32,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,cd7da68321a49298040abc2e997ef2d304e02bf8f1b8b23baf66e3423442d318,2025-04-17,2026-07-04
Clips4Sale,Gaining SSBBW Gets Horny While Stuffing Pizza,Gaining SSBBW Gets Horny While Stuffing Pizza,33543205,47,1738.22,1042.93,36.98,22.19,lady_sublime_ssbbw_pizza_food_stuffing_overeating_horny_fat_girl_masturbation_vibrator_orgasm_cu_260,mov,00:32:30,5768,3840x2160,2026-04-21 10:00:06,2026-07-04_17-47-56_title_summary_history_2025-04-17_to_2026-07-04_Sales_Summary_by_Title_17-04-2025_to_17-04-2025.csv,2026-07-04T17:49:47,0e3a108cf8cd502b1205df8ec78e5f284c658b81629e4a5744a7fa0be47aacc0,2025-04-17,2026-07-04
