rank,canonical_content_id,canonical_title,content_group,platform_list,surface_list,sales,gross,net,avg_net,first_offered_date,first_offered_basis,first_offered_confidence,days_since_launch,sales_per_day,net_per_day,latest_date,mapping_status,source_rows,c4s_sales,c4s_gross,c4s_net,curvage_sales,curvage_gross,curvage_net,manyvids_sales,manyvids_gross,manyvids_net,onlyfans_sales,onlyfans_gross,onlyfans_net,modelcentro_sales,modelcentro_gross,modelcentro_net
1,unmapped:modelcentro:full-site-access,Full site access!,,ModelCentro,ModelCentro transaction,1421,27765.97,18350.51,12.91,2026-01-01,sale date,low,203,7.0,90.4,2026-07-20,needs mapping,1421,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1421,27765.97,18350.51
2,Video 0295,Best Friend's Mom Teases You,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, ManyVids transaction, OF mass message, OF post",206,5045.69,3721.3,18.06,2026-05-21,master content release date,high,63,3.27,59.07,2026-07-21,mapped,73,4,111.93,67.16,90,1799.1,1331.1,33,923.45,554.07,79,2211.21,1768.97,0,0.0,0.0
3,Video 0288,Diet Pills Gone Wrong,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message, OF post",230,3885.9,2883.2,12.54,2026-02-22,master content release date,high,151,1.52,19.09,2026-07-20,mapped,77,1,14.98,8.99,163,2881.7,2136.78,18,269.7,161.82,48,719.52,575.61,0,0.0,0.0
4,Video 0289,HR Fatty Makes You Her Feeder POV,Video,"Curvage, ManyVids, OnlyFans","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message",183,2957.76,2204.43,12.05,2026-03-04,master content release date,high,141,1.3,15.63,2026-07-21,mapped,65,0,0.0,0.0,135,1998.31,1480.84,11,219.82,131.89,37,739.63,591.7,0,0.0,0.0
5,Video 0291,Exercise After Gaining,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message",83,2667.33,1975.15,23.8,2026-04-06,master content release date,high,108,0.77,18.29,2026-07-19,mapped,40,1,27.98,16.79,58,1967.64,1460.17,7,195.88,117.53,17,475.83,380.66,0,0.0,0.0
6,Video 0290,Stuffed Girlfriend Gets Gassy,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message, OF post",116,2618.61,1938.38,16.71,2026-03-11,master content release date,high,134,0.87,14.47,2026-07-21,mapped,45,3,59.95,35.97,85,1998.99,1482.65,7,139.88,83.93,21,419.79,335.83,0,0.0,0.0
7,Video 0297,Greedy SSBBW Devours Roommates Leftovers,Video,"Clips4Sale, Curvage, ManyVids","C4S title snapshot, Curvage Purchases per clips, ManyVids transaction",73,2700.16,1919.47,26.29,2026-06-27,master content release date,high,26,2.81,73.83,2026-07-21,mapped,32,6,221.9,133.14,56,2071.44,1542.24,11,406.82,244.09,0,0.0,0.0,0,0.0,0.0
8,Video 0294,Gaining SSBBW Wants to Reach 600lbs,Video,"Curvage, ManyVids, OnlyFans","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message",110,2391.55,1768.06,16.07,2026-05-04,master content release date,high,80,1.38,22.1,2026-07-19,mapped,44,0,0.0,0.0,66,1512.08,1120.44,14,279.77,167.86,30,599.7,479.76,0,0.0,0.0
9,Video 0298,Gaining SSBBW Weigh-In: Heavier Than Ever?,Video,"Clips4Sale, Curvage, ManyVids","C4S title snapshot, Curvage Purchases per clips, ManyVids transaction",63,2330.18,1579.87,25.08,2026-07-19,master content release date,high,4,15.75,394.97,2026-07-22,mapped,13,21,776.65,465.99,34,1257.66,936.36,8,295.87,177.52,0,0.0,0.0,0,0.0,0.0
10,Video 0287,Gassy Giantess Gobbles You Up,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message, OF post",74,2068.53,1562.12,21.11,2026-01-30,master content release date,high,174,0.43,8.98,2026-07-14,mapped,28,1,24.98,14.99,31,994.01,737.48,6,149.9,89.94,36,899.64,719.71,0,0.0,0.0
11,Video 0285,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",41,1691.35,1246.35,30.4,2025-12-01,master content release date,high,234,0.18,5.33,2026-07-20,mapped,38,0,0.0,0.0,39,1627.38,1207.97,2,63.97,38.38,0,0.0,0.0,0,0.0,0.0
12,Video 0277,Co-workers' Revenge: Cake Stuffing and Rapid Growth,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",42,1548.6,1133.24,26.98,2025-07-21,master content release date,high,367,0.11,3.09,2026-07-16,mapped,39,0,0.0,0.0,38,1436.67,1066.08,4,111.93,67.16,0,0.0,0.0,0,0.0,0.0
13,unmapped:modelcentro:1-month-membership,1 Month Membership,,ModelCentro,ModelCentro transaction,64,1279.36,845.36,13.21,2026-01-02,sale date,low,202,0.32,4.18,2026-07-18,needs mapping,64,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,64,1279.36,845.36
14,unmapped:onlyfans:woke-up-starving-but-everything-is-closed-good-thing-my-roommate-has-a,"Woke up starving but everything is closed! Good thing my roommate has a ton of leftovers in the fridge. 👀 I plan to only take a few bites, but quickly lose control devouring everything in sight! Suddenly her alarm goes off, I try to cover u",,OnlyFans,"OF mass message, OF post",27,998.73,798.98,29.59,2026-06-28,OF message sent date,medium,25,1.08,31.96,2026-07-18,needs mapping,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,998.73,798.98,0,0.0,0.0
15,Video 0111,Stuffing My Face With Pizza,Video,"ManyVids, OnlyFans","ManyVids transaction, OF mass message, OF post",25,902.74,719.2,28.77,2020-10-24,master content release date,high,2098,0.01,0.34,2026-07-18,mapped,3,0,0.0,0.0,0,0.0,0.0,1,14.98,8.99,24,887.76,710.21,0,0.0,0.0
16,Video 0296,Fucking Your Stuffed SSBBW Girlfriend POV,Video,"Clips4Sale, ManyVids, OnlyFans","C4S title snapshot, ManyVids transaction, OF mass message",47,986.38,696.78,14.83,2026-06-11,master content release date,high,42,1.12,16.59,2026-07-19,mapped,23,1,20.98,12.59,0,0.0,0.0,21,440.65,264.39,25,524.75,419.8,0,0.0,0.0
17,unmapped:onlyfans:since-my-recent-video-where-i-gave-you-a-real-peek-inside-my-kitchen-c,"Since my recent video where I gave you a real peek inside my kitchen cabinets and talked candidly about my eating habits, it seems that you wanted to hear more! I've ordered dinner from my favorite Thai place, and I'm here to tell you more",,OnlyFans,OF post,23,850.77,680.62,29.59,2026-07-19,OF post date,medium,4,5.75,170.16,2026-07-19,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,23,850.77,680.62,0,0.0,0.0
18,Video 0293,The Diet of a Gaining SSBBW,Video,"Curvage, ManyVids, OnlyFans","Curvage Purchases per clips, ManyVids transaction, OF mass message, OF post",26,727.73,558.17,21.47,2026-04-27,master content release date,high,87,0.3,6.42,2026-07-18,mapped,11,0,0.0,0.0,8,223.92,166.32,2,55.97,33.58,16,447.84,358.27,0,0.0,0.0
19,Video 0273,SSBBW Burps and Farts While Stuffing,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",15,709.12,501.51,33.43,2025-04-16,master content release date,high,463,0.03,1.08,2026-07-20,mapped,15,0,0.0,0.0,10,534.2,396.56,5,174.92,104.95,0,0.0,0.0,0,0.0,0.0
20,unmapped:onlyfans:your-wife-comes-home-and-doesn-t-even-glance-at-you-before-tearing-int,"Your wife comes home and doesn't even glance at you before tearing into her family size bucket of chicken! Unlock if you love stroking to the sultry sounds of chewing, burping, and farts! 🍗",,OnlyFans,OF post,22,351.78,281.42,12.79,2026-02-01,OF post date,medium,172,0.13,1.64,2026-02-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,22,351.78,281.42,0,0.0,0.0
21,Video 0283,Dorothy Returns to Oz POV,Video,"ManyVids, OnlyFans","ManyVids transaction, OF post",16,383.78,263.85,16.49,2025-11-14,master content release date,high,251,0.06,1.05,2026-07-19,mapped,10,0,0.0,0.0,0,0.0,0.0,9,215.85,129.51,7,167.93,134.34,0,0.0,0.0
