period_key,period_label,period_start,period_end,rank,canonical_content_id,canonical_title,content_group,platform_list,surface_list,sales,gross,net,avg_net,first_offered_date,first_offered_basis,first_offered_confidence,days_since_launch,sales_per_day,net_per_day,latest_date,mapping_status,source_rows,c4s_sales,c4s_gross,c4s_net,curvage_sales,curvage_gross,curvage_net,manyvids_sales,manyvids_gross,manyvids_net,onlyfans_sales,onlyfans_gross,onlyfans_net,modelcentro_sales,modelcentro_gross,modelcentro_net,coverage_note
latest_7,Latest 7 Days,2026-07-05,2026-07-11,1,Video 0291,Greedy SSBBW Devours Roommates Leftovers,Video,"Clips4Sale, Curvage, ManyVids","C4S title snapshot, Curvage Purchases per clips, ManyVids transaction",12,443.84,298.38,24.86,2026-06-27,master content release date,high,15,0.8,19.89,2026-07-11,mapped,8,4,147.93,88.76,6,221.94,165.24,2,73.97,44.38,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,2,Video 0289,Best Friend's Mom Teases You,Video,"Clips4Sale, Curvage, ManyVids","C4S title snapshot, Curvage Purchases per clips, ManyVids transaction",9,235.87,147.11,16.35,2026-05-21,master content release date,high,52,0.17,2.83,2026-07-11,mapped,5,5,139.92,83.95,2,39.98,29.58,2,55.97,33.58,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,3,Video 0285,Exercise After Gaining,Video,"Clips4Sale, Curvage","C4S title snapshot, Curvage Purchases per clips",3,83.96,58.37,19.46,2026-04-06,master content release date,high,97,0.03,0.6,2026-07-11,mapped,3,1,27.98,16.79,2,55.98,41.58,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,4,Video 0290,Fucking Your Stuffed SSBBW Girlfriend POV,Video,"Clips4Sale, ManyVids","C4S title snapshot, ManyVids transaction",4,83.93,50.36,12.59,2026-06-11,master content release date,high,31,0.13,1.62,2026-07-11,mapped,2,3,62.95,37.77,0,0.0,0.0,1,20.98,12.59,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,5,Video 0271,Co-workers' Revenge: Cake Stuffing and Rapid Growth,Video,"Clips4Sale, ManyVids","C4S title snapshot, ManyVids transaction",2,55.96,33.58,16.79,2025-07-21,master content release date,high,356,0.01,0.09,2026-07-11,mapped,2,1,27.98,16.79,0,0.0,0.0,1,27.98,16.79,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,6,Video 0243,Hotel Concierge Fucking POV,Video,"Clips4Sale, ManyVids","C4S title snapshot, ManyVids transaction",3,53.95,32.37,10.79,2024-07-10,master content release date,high,732,0.0,0.04,2026-07-11,mapped,3,1,17.98,10.79,0,0.0,0.0,2,35.97,21.58,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,7,Video 0284,Stuffed Girlfriend Gets Gassy,Video,"Clips4Sale, Curvage","C4S title snapshot, Curvage Purchases per clips",2,39.97,26.78,13.39,2026-03-11,master content release date,high,123,0.02,0.22,2026-07-11,mapped,2,1,19.98,11.99,1,19.99,14.79,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,8,Video 0288,Gaining SSBBW Wants to Reach 600lbs,Video,"Clips4Sale, Curvage","C4S title snapshot, Curvage Purchases per clips",2,39.97,26.78,13.39,2026-05-04,master content release date,high,69,0.03,0.39,2026-07-11,mapped,2,1,19.98,11.99,1,19.99,14.79,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,9,Video 0261,Wife Wants to Stop Gaining the Reboot,Video,ManyVids,ManyVids transaction,2,43.97,26.38,13.19,2025-02-20,master content release date,high,507,0.0,0.05,2026-07-09,mapped,2,0,0.0,0.0,0,0.0,0.0,2,43.97,26.38,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,10,Video 0280,Ex GF Got Fat - Holiday Hookup,Video,"Clips4Sale, Curvage","C4S title snapshot, Curvage Purchases per clips",2,38.97,25.73,12.86,2025-12-26,master content release date,high,198,0.01,0.13,2026-07-11,mapped,2,1,21.98,13.19,1,16.99,12.54,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
latest_7,Latest 7 Days,2026-07-05,2026-07-11,11,Video 0279,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,Video,Curvage,Curvage Purchases per clips,1,31.99,23.79,23.79,2025-12-01,master content release date,high,223,0.0,0.11,2026-07-05,mapped,1,0,0.0,0.0,1,31.99,23.79,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,Ranks reviewed mapped videos and exact-title auto matches with sales/detail rows inside this period; platform totals remain canonical.
