canonical_content_id,canonical_title,content_group,match_status,release_date,listed_platforms,priced_platforms,c4s_price,c4s_price_reason,manyvids_price,manyvids_price_reason,curvage_price,curvage_price_reason,modelcentro_price,modelcentro_price_reason,min_price,max_price,price_spread,price_status,coverage_note,source_rows,source
Video 0291,Greedy SSBBW Devours Roommates Leftovers,Video,Auto exact-title match,2026-06-27,"Clips4Sale, Curvage, ManyVids","C4S, ManyVids, Curvage",$36.99,Price captured,$36.99,Price captured,$36.99,Price captured,,Not listed in master catalog,36.99,36.99,0.0,Mostly aligned,No action for platforms not listed in master catalog; Missing MC Clipstore; OnlyFans omitted pending stronger title dedupe,4,private_content_catalog.csv
Video 0290,Fucking Your Stuffed SSBBW Girlfriend POV,Video,Manual confirmed match,2026-06-11,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",$20.99,Price captured,$20.99,Price captured,,Not listed in master catalog,,Members Library only; not in clipstore,20.99,20.99,0.0,Partial coverage,"No clipstore price expected for MC members-only videos; Missing Curvage, MC Clipstore; OnlyFans omitted pending stronger title dedupe",4,private_content_catalog.csv
Video 0289,Best Friend's Mom Teases You,Video,Manual confirmed match,2026-05-21,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",$27.99,Price captured,$27.99,Price captured,$19.99,Price captured,,Members Library only; not in clipstore,19.99,27.99,8.0,Price spread,No clipstore price expected for MC members-only videos; Missing MC Clipstore; OnlyFans omitted pending stronger title dedupe,5,private_content_catalog.csv
Video 0288,Gaining SSBBW Wants to Reach 600lbs,Video,Manual confirmed match,2026-05-04,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",$19.99,Price captured,$19.99,Price captured,$19.99,Price captured,,Members Library only; not in clipstore,19.99,19.99,0.0,Mostly aligned,No clipstore price expected for MC members-only videos; Missing MC Clipstore; OnlyFans omitted pending stronger title dedupe,5,private_content_catalog.csv
Video 0287,The Diet of a Gaining SSBBW,Video,Manual confirmed match,2026-04-27,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",$27.99,Price captured,$27.99,Price captured,$27.99,Price captured,,Members Library only; not in clipstore,27.99,27.99,0.0,Mostly aligned,No clipstore price expected for MC members-only videos; Missing MC Clipstore; OnlyFans omitted pending stronger title dedupe,5,private_content_catalog.csv
Video 0286,Stuffed and Horny,Video,Manual confirmed match,2026-04-20,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids",$36.99,Price captured,$36.99,Price captured,,Not listed in master catalog,,Members Library only; not in clipstore,36.99,36.99,0.0,Partial coverage,"No clipstore price expected for MC members-only videos; Missing Curvage, MC Clipstore; OnlyFans omitted pending stronger title dedupe",4,private_content_catalog.csv
Video 0285,Exercise After Gaining,Video,Manual confirmed match,2026-04-06,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",$27.99,Price captured,$27.99,Price captured,$27.99,Price captured,,Members Library only; not in clipstore,27.99,27.99,0.0,Mostly aligned,No clipstore price expected for MC members-only videos; Missing MC Clipstore; OnlyFans omitted pending stronger title dedupe,5,private_content_catalog.csv
Video 0284,Stuffed Girlfriend Gets Gassy,Video,Manual confirmed match,2026-03-11,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",$19.99,Price captured,$19.99,Price captured,$19.99,Price captured,,Members Library only; not in clipstore,19.99,19.99,0.0,Mostly aligned,No clipstore price expected for MC members-only videos; Missing MC Clipstore; OnlyFans omitted pending stronger title dedupe,5,private_content_catalog.csv
Video 0283,HR Fatty Makes You Her Feeder POV,Video,Manual confirmed match,2026-03-04,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",$19.99,Price captured,$19.99,Price captured,$11.99,Price captured,,Members Library only; not in clipstore,11.99,19.99,8.0,Price spread,No clipstore price expected for MC members-only videos; Missing MC Clipstore; OnlyFans omitted pending stronger title dedupe,5,private_content_catalog.csv
Video 0282,Diet Pills Gone Wrong,Video,Manual confirmed match,2026-02-22,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",$14.99,Price captured,$14.99,Price captured,$14.99,Price captured,,Members Library only; not in clipstore,14.99,14.99,0.0,Mostly aligned,No clipstore price expected for MC members-only videos; Missing MC Clipstore; OnlyFans omitted pending stronger title dedupe,5,private_content_catalog.csv
Video 0281,Gassy Giantess Gobbles You Up,Video,Manual confirmed match,2026-01-30,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage",$24.99,Price captured,$24.99,Price captured,$24.99,Price captured,,Members Library only; not in clipstore,24.99,24.99,0.0,Mostly aligned,No clipstore price expected for MC members-only videos; Missing MC Clipstore; OnlyFans omitted pending stronger title dedupe,5,private_content_catalog.csv
