platform,title,clean_item_label,item_id,sales_count,gross_amount,net_amount,avg_gross_per_sale,avg_net_per_sale,price,row_count,first_date,last_date,source_files,latest_imported_at,surface,recency_basis,grain,allocation_method
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,4,77.94,57.78,19.48,14.45,10.99,1,2023-01-18,2023-01-18,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,8,145.03,107.52,18.13,13.44,10.99,1,2023-01-19,2023-01-19,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,86.03,63.78,86.03,63.78,10.99,1,2023-01-20,2023-01-20,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,3,45.4,33.66,15.13,11.22,10.99,1,2023-01-21,2023-01-21,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,21.69,16.08,21.69,16.08,10.99,1,2023-01-22,2023-01-22,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,23.71,17.58,23.71,17.58,10.99,1,2023-02-01,2023-02-01,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,4,105.69,78.36,26.42,19.59,10.99,1,2023-02-06,2023-02-06,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,23.71,17.58,23.71,17.58,10.99,1,2023-02-11,2023-02-11,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,32.53,24.12,32.53,24.12,10.99,1,2023-02-12,2023-02-12,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,23.71,17.58,23.71,17.58,10.99,1,2023-02-14,2023-02-14,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,21.69,16.08,21.69,16.08,10.99,1,2023-02-25,2023-02-25,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,49.45,36.66,49.45,36.66,10.99,1,2023-03-01,2023-03-01,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,21.69,16.08,21.69,16.08,10.99,1,2023-03-10,2023-03-10,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,1,10.84,8.04,10.84,8.04,10.99,1,2023-03-20,2023-03-20,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
