platform,title,clean_item_label,item_id,sales_count,gross_amount,net_amount,avg_gross_per_sale,avg_net_per_sale,price,row_count,first_date,last_date,source_files,latest_imported_at,surface,recency_basis,grain,allocation_method
Curvage,Pills make me grow until I pop 💊🍗🎈,Pills make me grow until I pop 💊🍗🎈,72067,161,2848.04,2122.01,17.69,13.18,14.99,53,2026-02-23,2026-07-01,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Best Friend's Mommy Tells You How to Please SSBBW 😈😍,Best Friend's Mommy Tells You How to Please SSBBW 😈😍,75672,98,1861.29,1627.75,18.99,16.61,19.99,31,2026-05-22,2026-07-03,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,HR manager coerces you into becoming her feeder 🍩🤤,HR manager coerces you into becoming her feeder 🍩🤤,72499,130,1964.96,1461.93,15.12,11.25,11.99,48,2026-03-05,2026-07-02,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Your Gluttonous Girlfriend Can't Hold Back Farts 🌯💨,Your Gluttonous Girlfriend Can't Hold Back Farts 🌯💨,72725,83,1944.63,1454.69,23.43,17.53,19.99,32,2026-03-11,2026-07-03,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,How gaining weight changed how I exercise 🏋🏻‍♀️💪,How gaining weight changed how I exercise 🏋🏻‍♀️💪,73734,55,1868.73,1431.97,33.98,26.04,27.99,27,2026-04-06,2026-06-21,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Girlfriend Wants to Gain to 600lbs for You 🍪,Girlfriend Wants to Gain to 600lbs for You 🍪,74929,68,1716.84,1326.58,25.25,19.51,19.99,28,2026-05-05,2026-06-30,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Nightmare Thanksgiving guest eats all the food! 🦃🤤,Nightmare Thanksgiving guest eats all the food! 🦃🤤,68878,36,1526.85,1138.33,42.41,31.62,31.99,33,2026-01-04,2026-06-30,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Greedy SSBBW Devours Roommates Leftovers,Greedy SSBBW Devours Roommates Leftovers,77165,37,1368.63,1017.63,36.99,27.5,36.99,7,2026-06-28,2026-07-04,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Cursed Cake Makes Greedy Co-worker Explode,Cursed Cake Makes Greedy Co-worker Explode,63618,35,1355.5,1010.52,38.73,28.87,27.99,32,2026-01-14,2026-06-30,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Gassy giantess vores you 👅💨,Gassy giantess vores you 👅💨,71108,29,944.62,700.37,32.57,24.15,24.99,16,2026-01-30,2026-06-17,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Stuffing tacos makes me burp and fart! 🌮💨,Stuffing tacos makes me burp and fart! 🌮💨,60064,8,464.48,344.47,58.06,43.06,34.99,8,2026-01-26,2026-07-03,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Greedy girlfriend stuffs her face and vores you! 🤤🍔,Greedy girlfriend stuffs her face and vores you! 🤤🍔,56366,11,316.32,234.56,28.76,21.32,21.99,11,2026-02-04,2026-06-29,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Crushing you flat under my massive 525lb body,Crushing you flat under my massive 525lb body,67883,5,312.63,231.76,62.53,46.35,17.99,5,2026-01-02,2026-06-19,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Stuffing and making out with your feedee 🤤🍗,Stuffing and making out with your feedee 🤤🍗,48622,9,263.03,198.73,29.23,22.08,24.99,9,2026-01-30,2026-06-15,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Stuffing My Face After Hitting the Gym! 🍔🥤,Stuffing My Face After Hitting the Gym! 🍔🥤,58749,7,203.04,156.59,29.01,22.37,19.99,7,2026-01-27,2026-06-23,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Stuffing in the Car Until I'm Stuck! 🚙🍟,Stuffing in the Car Until I'm Stuck! 🚙🍟,59966,6,198.48,147.13,33.08,24.52,28.99,6,2026-02-22,2026-06-10,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Thanksgiving stuffing and a cigarette! 🦃🚬,Thanksgiving stuffing and a cigarette! 🦃🚬,54801,5,166.44,123.46,33.29,24.69,29.99,5,2026-01-06,2026-06-29,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,New weigh-in and measurements! 😍,New weigh-in and measurements! 😍,56046,3,127.29,94.42,42.43,31.47,34.99,3,2026-01-24,2026-06-12,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,My bloated belly and burps are so hot! 🤤,My bloated belly and burps are so hot! 🤤,53641,3,85.59,63.39,28.53,21.13,24.99,3,2026-04-03,2026-06-19,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Horny SSBBW Succubus Grows for Your Cum POV,Horny SSBBW Succubus Grows for Your Cum POV,44086,4,80.26,59.46,20.07,14.87,14.99,4,2026-02-22,2026-06-20,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Your Girlfriend Encourages Mutual Gain POV,Your Girlfriend Encourages Mutual Gain POV,55022,3,79.56,59.02,26.52,19.67,24.99,3,2026-02-23,2026-06-05,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Get me pregnant and make me grow! 🤰😍,Get me pregnant and make me grow! 🤰😍,49011,3,47.46,35.16,15.82,11.72,12.99,3,2026-03-28,2026-07-02,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Soda-chugging cutie gets bloated and belches!,Soda-chugging cutie gets bloated and belches!,28679,3,42.04,31.14,14.01,10.38,10.99,3,2026-02-14,2026-07-02,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Watch my fat jiggle while I struggle to work out! 😅💪,Watch my fat jiggle while I struggle to work out! 😅💪,45396,2,37.45,27.78,18.73,13.89,12.99,2,2026-02-12,2026-07-04,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
Curvage,Sexy fatty gobbles a dozen ice cream sandwiches!,Sexy fatty gobbles a dozen ice cream sandwiches!,33057,2,19.73,14.61,9.87,7.3,8.99,2,2026-02-23,2026-06-19,creator_analytics/manual_backfills/curvage_title_counts_all_time_2013-01-01_to_2026-07-04.csv,2026-07-04T19:25:00,Curvage title-count allocation,sale date,allocated daily title count,Daily title counts allocated to canonical Curvage daily gross/net by price-weighted unit share.
