platform,date,clean_item_label,product_type,revenue_grain,estimate_confidence,action_needed,gross_amount,net_amount,report_type,segment,source_file,row_hash
Clips4Sale,2026-06-02,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,27.99,16.793999999999997,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,bcd9b4b24684fea9d18c3418e5734b6186d7cb8aa70db265bc692a45a37b0560
Clips4Sale,2026-06-02,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,7.0,4.2,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,e9794d5083f4a68067efc607d6f0c6da339b72d51301f4365e3d3a504b8f0796
Clips4Sale,2026-06-02,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,21.99,13.193999999999999,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,df14b222dc60ce3a1af8ea20512934c1ecdc9f9e69341eb8c81c99de35d803a9
Clips4Sale,2026-06-02,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,21.99,13.193999999999999,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,f475e4b93d9dd4fa6df4c74802fed1a5380ad939a09efc20b5b5d5610cc82dbf
Clips4Sale,2026-06-02,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,27.99,16.793999999999997,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,f5687cce9e611383fcf82ba3f94745a40f40469fb41db94a3f28332519ce0192
Clips4Sale,2026-06-02,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,27.99,16.793999999999997,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,b0875047876d2abfc225ca80c2c6352ad711638d3c5566cb04adde2e991e63d9
Clips4Sale,2026-06-03,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,27.99,16.793999999999997,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,abac8553707f3f257e4555be60fda58d0acebc74633da3478467403b48b8a74d
Clips4Sale,2026-06-03,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,27.99,16.793999999999997,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,7ea88698bdfa99c371a6cd3ff676bfa7ef8c0af543efbb7bddbca17b3610f861
Clips4Sale,2026-06-03,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,24.99,14.993999999999998,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,c251b3576866b0f75890563cc7e7b4a2a813a7749a63f19f44ddf2b9a61b3904
Clips4Sale,2026-06-03,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,15.99,9.594,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,343a5502645a47e5e1e888c395f043d94732daf23c149c0ea4a081d9c1940608
Clips4Sale,2026-06-03,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,24.99,14.993999999999998,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,ed350e6ddc2534b58440af565c0b9fe467b1292191fd551e2e661899120439b9
Clips4Sale,2026-06-03,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,27.99,16.793999999999997,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,ec35e9a5de5bdb58c528b735f7fff8af83afdbc0110a53d51bb77b9a7a30de4c
Clips4Sale,2026-06-03,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,24.99,14.993999999999998,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,585c24e2566f49b4f262b217480ed5e6a4441bbb42d1ad5ce5fd8e47356a49a2
Clips4Sale,2026-06-03,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,27.99,16.793999999999997,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,ba5bd0fddcdff975ed7170d76b093a4a35322b8a50134659a68ebecc9e1df0b9
Clips4Sale,2026-06-04,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,27.99,16.793999999999997,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,d07d95f01667a4b66cd64bcd1e02e8e24e6d6d0c22581bf86c8a76c3a99bc569
Clips4Sale,2026-06-04,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,21.99,13.193999999999999,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,b2b180d0dec4ba413f700e1cbed881f3589cff0d906b6bd6c444c08c14cf0c5e
Clips4Sale,2026-06-04,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,9.99,5.994,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,0ac62360b6cc5450075f6f782efb2296942d791d8e67f18f21a5f1e84aa8331b
Clips4Sale,2026-06-04,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,13.99,8.394,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,18f439bd1cc399fb9641591acc3bfe685521882402b94cc07b2e0d5d7d1bad2a
Clips4Sale,2026-06-04,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,15.99,9.594,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,ef0be2c43c415a2d8da36431595875b1557202a1a29bf45db9a583f15f7c49cd
Clips4Sale,2026-06-04,C4S clip sale (title unavailable),clip sale,transaction,"exported gross, validated modeled net",add clip titles,7.0,4.2,transactions,purchased-clip,2026-06-09_17-29-57_statistics_transactions_track-transactions-this_month.csv,ccd6debccdeca21517972150695b7ccbc11057c58fe9ccd673a0f4fc008a9541
