platform,title,clean_item_label,item_id,price,sales_count,gross_amount,net_amount,avg_gross_per_sale,avg_net_per_sale,views,likes,status_or_category,first_date,last_date,first_offered_date,first_offered_basis,first_offered_confidence,recency_basis,grain,source_page,source_file,imported_at
ManyVids,Greedy SSBBW Devours Roommates Leftovers,Greedy SSBBW Devours Roommates Leftovers,7622176,36.99,4,147.97,88.78,36.99,22.2,89.0,,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fucking Your Stuffed SSBBW Girlfriend POV,Fucking Your Stuffed SSBBW Girlfriend POV,7581172,20.99,17,356.83,214.1,20.99,12.59,192.0,1.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Best Friend's Step-Mom Shows You How to Please SSBBW,Best Friend's Step-Mom Shows You How to Please SSBBW,7532716,27.99,30,839.7,503.82,27.99,16.79,343.0,12.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Gaining SSBBW Wants to Reach 600lbs,Gaining SSBBW Wants to Reach 600lbs,7488114,19.99,13,259.87,155.92,19.99,11.99,204.0,8.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Gaining SSBBW Smoking and Kitchen Tour,Gaining SSBBW Smoking and Kitchen Tour,7466524,27.99,2,55.98,33.59,27.99,16.8,100.0,4.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Gaining SSBBW Gets Horny While Stuffing Pizza,Gaining SSBBW Gets Horny While Stuffing Pizza,7451535,36.99,10,369.9,221.94,36.99,22.19,207.0,10.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Gaining SSBBW Smokes and Shares Workout Routine,Gaining SSBBW Smokes and Shares Workout Routine,7414684,27.99,7,195.93,117.56,27.99,16.79,150.0,7.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Gluttonous Girlfriend Can't Hold Back Farts,Gluttonous Girlfriend Can't Hold Back Farts,7352060,19.99,6,119.93,71.96,19.99,11.99,270.0,8.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Your Job Depends on How Well You Feed Me,Your Job Depends on How Well You Feed Me,7334989,19.99,11,219.88,131.93,19.99,11.99,238.0,10.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Greedy SSBBW Rapid Growth Until Pop,Greedy SSBBW Rapid Growth Until Pop,7308812,14.99,22,329.78,197.87,14.99,8.99,269.0,11.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Gassy SSBBW Giantess Vores You,Gassy SSBBW Giantess Vores You,7249689,24.99,14,349.87,209.92,24.99,14.99,502.0,20.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Growing SSBBW Ex Rides You POV,Growing SSBBW Ex Rides You POV,7164228,21.99,43,945.57,567.34,21.99,13.19,629.0,34.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,7097360,31.99,23,735.77,441.46,31.99,19.19,369.0,19.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Psychologist III: Making You My Feeder POV,SSBBW Psychologist III: Making You My Feeder POV,7063140,29.99,13,389.87,233.92,29.99,17.99,393.0,17.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Gaining SSBBW Dorothy Fucks Wizard POV,Gaining SSBBW Dorothy Fucks Wizard POV,7048302,23.99,35,839.65,503.79,23.99,14.39,565.0,36.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Gassy SSBBW Ignores You and Stuffs,Gassy SSBBW Ignores You and Stuffs,6992472,15.99,18,287.82,172.69,15.99,9.59,288.0,15.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Gaining SSBBW Smoking and Clothes Try On,Gaining SSBBW Smoking and Clothes Try On,6883463,27.99,10,279.9,167.94,27.99,16.79,262.0,9.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Pussy Licking and Toe Sucking,SSBBW Pussy Licking and Toe Sucking,6802263,21.99,24,527.77,316.66,21.99,13.19,382.0,32.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Squashes You Under Ass and Feet,SSBBW Squashes You Under Ass and Feet,6785506,17.99,16,643.03,385.82,40.19,24.11,287.0,25.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Cursed Cake Makes Greedy SSBBW Explode,Cursed Cake Makes Greedy SSBBW Explode,6734246,27.99,58,1623.42,974.05,27.99,16.79,659.0,38.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Horny SSBBW Neighbor Wants to Get Pregnant POV,Horny SSBBW Neighbor Wants to Get Pregnant POV,6630757,20.99,78,1637.22,982.33,20.99,12.59,889.0,76.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,1,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
