canonical_content_id,canonical_title,price_tier,primary_price,min_price,max_price,price_spread,price_status,listed_platforms,priced_platforms,platform_list,sales,gross,net,avg_net_per_sale,days_live,net_per_day,latest_7_net,mtd_net,ytd_net,launch_7_net_observed,launch_30_net_observed,first_offered_date,first_offered_confidence,mapping_status,c4s_sales,c4s_gross,c4s_net,curvage_sales,curvage_gross,curvage_net,manyvids_sales,manyvids_gross,manyvids_net,onlyfans_sales,onlyfans_gross,onlyfans_net,modelcentro_sales,modelcentro_gross,modelcentro_net,coverage_note
Video 0298,Gaining SSBBW Weigh-In: Heavier Than Ever?,$36.99,36.99,36.99,36.99,0.0,Mostly aligned,"Clips4Sale, Curvage, ManyVids","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids",63,2330.18,1579.87,25.08,4,394.97,1113.88,1113.88,1113.88,1579.87,1579.87,2026-07-19,high,mapped,21,776.65,465.99,34,1257.66,936.36,8,295.87,177.52,0,0.0,0.0,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Launch window uses lifetime-to-date because the title is still inside that window.
Video 0297,Greedy SSBBW Devours Roommates Leftovers,$36.99,36.99,36.99,36.99,0.0,Mostly aligned,"Clips4Sale, Curvage, ManyVids","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids",73,2700.16,1919.47,26.29,26,73.83,231.81,1031.26,1786.33,,1919.47,2026-06-27,high,mapped,6,221.9,133.14,56,2071.44,1542.24,11,406.82,244.09,0,0.0,0.0,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Launch window uses lifetime-to-date because the title is still inside that window.
Video 0295,Best Friend's Mom Teases You,$27.99,27.99,19.99,27.99,8.0,Price spread,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",206,5045.69,3721.3,18.06,63,59.07,59.16,198.27,1885.17,,,2026-05-21,high,mapped,4,111.93,67.16,90,1799.1,1331.1,33,923.45,554.07,79,2211.21,1768.97,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Historical first-7/first-30 windows are not reconstructed from mixed-grain title snapshots yet.
Video 0294,Gaining SSBBW Wants to Reach 600lbs,$19.99,19.99,19.99,19.99,0.0,Mostly aligned,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids, OnlyFans",110,2391.55,1768.06,16.07,80,22.1,11.99,26.78,1288.3,,,2026-05-04,high,mapped,0,0.0,0.0,66,1512.08,1120.44,14,279.77,167.86,30,599.7,479.76,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Historical first-7/first-30 windows are not reconstructed from mixed-grain title snapshots yet.
Video 0288,Diet Pills Gone Wrong,$14.99,14.99,14.99,14.99,0.0,Mostly aligned,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",230,3885.9,2883.2,12.54,151,19.09,33.12,44.16,2298.6,,,2026-02-22,high,mapped,1,14.98,8.99,163,2881.7,2136.78,18,269.7,161.82,48,719.52,575.61,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Historical first-7/first-30 windows are not reconstructed from mixed-grain title snapshots yet.
Video 0291,Exercise After Gaining,$27.99,27.99,27.99,27.99,0.0,Mostly aligned,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",83,2667.33,1975.15,23.8,108,18.29,20.79,62.37,1577.7,,,2026-04-06,high,mapped,1,27.98,16.79,58,1967.64,1460.17,7,195.88,117.53,17,475.83,380.66,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Historical first-7/first-30 windows are not reconstructed from mixed-grain title snapshots yet.
Video 0296,Fucking Your Stuffed SSBBW Girlfriend POV,$20.99,20.99,20.99,20.99,0.0,Partial coverage,"Clips4Sale, ManyVids, ModelCentro","C4S, ManyVids","Clips4Sale, ManyVids, OnlyFans",47,986.38,696.78,14.83,42,16.59,25.18,75.54,264.39,,,2026-06-11,high,mapped,1,20.98,12.59,0,0.0,0.0,21,440.65,264.39,25,524.75,419.8,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Historical first-7/first-30 windows are not reconstructed from mixed-grain title snapshots yet.
Video 0289,HR Fatty Makes You Her Feeder POV,$19.99,19.99,11.99,19.99,8.0,Price spread,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids, OnlyFans",183,2957.76,2204.43,12.05,141,15.63,26.37,43.95,1612.73,,,2026-03-04,high,mapped,0,0.0,0.0,135,1998.31,1480.84,11,219.82,131.89,37,739.63,591.7,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Historical first-7/first-30 windows are not reconstructed from mixed-grain title snapshots yet.
Video 0290,Stuffed Girlfriend Gets Gassy,$19.99,19.99,19.99,19.99,0.0,Mostly aligned,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",116,2618.61,1938.38,16.71,134,14.47,29.58,71.15,1566.58,,,2026-03-11,high,mapped,3,59.95,35.97,85,1998.99,1482.65,7,139.88,83.93,21,419.79,335.83,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Historical first-7/first-30 windows are not reconstructed from mixed-grain title snapshots yet.
Video 0287,Gassy Giantess Gobbles You Up,$24.99,24.99,24.99,24.99,0.0,Mostly aligned,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",74,2068.53,1562.12,21.11,174,8.98,,18.54,827.42,,,2026-01-30,high,mapped,1,24.98,14.99,31,994.01,737.48,6,149.9,89.94,36,899.64,719.71,0,0.0,0.0,Observational pricing row. Primary price tier uses the highest captured listed price; Historical first-7/first-30 windows are not reconstructed from mixed-grain title snapshots yet.
