message_id,message_type,date,clean_item_label,price_tier,price,purchases,sent,viewed,view_rate,purchase_rate,gross,estimated_net,gross_per_viewed,net_per_viewed,net_per_1000_viewed,source_file
pdf-message-254a768c52689aa7,group,2026-05-22,"In town from college, you go to visit your best friend at his house. He isn't home yet, but his mom is... After sussing out your attraction to fat decides to show you just how to please one. Teasing you with her gorgeous soft body, she tell",$27.99,27.99,70,7421,2352,0.3169,0.0298,1959.3,1567.44,0.833,0.6664,666.43,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-5c25123d14d5137c,group,2023-12-30,🍆 I'm always horny in the morning! Use this discount and come give me that morning wood! NEW,$11.99,11.99,42,1300,813,0.6254,0.0517,503.58,402.86,0.6194,0.4955,495.52,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-5cfb489212975faa,group,2026-06-27,"👀 Woke up starving but everything is closed! Good thing my roommate has a ton of leftovers in the fridge. I plan to only take a few bites, control devouring everything in sight! Suddenly her alarm goes off, I try to cover up this mess but I",$36.99,36.99,24,7583,1468,0.1936,0.0163,887.76,710.21,0.6047,0.4838,483.79,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-8554269067d56032,group,2025-01-05,😍 A new weigh-in and full body measurements! You're gonna love seeing my progress! NEW,$34.99,34.99,32,4890,2208,0.4515,0.0145,1119.68,895.74,0.5071,0.4057,405.68,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-85f511fb42e6fd2e,group,2023-09-03,Squeezing my fat body in and out of this car and I even get brave enough to go topless with my fat tits and belly bouncing! Don't miss this 😘 count! NEW,$12.99,12.99,20,880,545,0.6193,0.0367,259.8,207.84,0.4767,0.3814,381.36,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-1415587fcf44198c,group,2023-11-18,😘 Wanna be my friend with benefits? Here's a special discount for this pov solo! NEW,$11.99,11.99,25,1074,674,0.6276,0.0371,299.75,239.8,0.4447,0.3558,355.79,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-a55d23926e157e96,group,2023-10-15,"🎃 I think you'll like me in a cheer costume, so I'm sending you a special Halloween discount! NEW",$12.99,12.99,20,985,589,0.598,0.034,259.8,207.84,0.4411,0.3529,352.87,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-66b148be0c50aaa1,group,2025-12-28,Your ex girlfriend is home for the holidays and you can't believe how huge she's gotten! She turns you on with chat about her insane weight 🥵 stripping down to show you every jiggling inch! You wont be able to hold back when you get that am,$21.99,21.99,67,7062,3349,0.4742,0.02,1473.33,1178.66,0.4399,0.3519,351.94,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-fc637494657f9251,group,2023-12-02,🤭 My fatass was not made for exercise! I thought you might like to watch me huff and puff anyway so here's a little discount! NEW,$11.99,11.99,25,1177,720,0.6117,0.0347,299.75,239.8,0.4163,0.3331,333.06,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-a3e8daedd46ebd01,group,2024-05-03,🤭 You've come home from a business trip to find your wife looking HUGE! She doesn't think she's changed at all. Do you think you can talk complete weight gain denial?? NEW,$16.99,16.99,38,2799,1573,0.562,0.0242,645.62,516.5,0.4104,0.3284,328.35,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-cc8cb670090f565b,group,2023-10-05,😘 I love guiding you through a stroke session! I hope you have fun with this special discounted joi clip! NEW,$15.99,15.99,15,971,599,0.6169,0.025,239.85,191.88,0.4004,0.3203,320.33,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
