price_tier,price,message_count,purchases,sent,viewed,purchase_rate,gross,estimated_net,gross_per_viewed,net_per_viewed,net_per_1000_viewed,top_message,coverage_note
$36.99,36.99,2,48,14915,4186,0.0115,1775.52,1420.42,0.4242,0.3393,339.33,"👀 Woke up starving but everything is closed! Good thing my roommate has a ton of leftovers in the fridge. I plan to only take a few bites, control devouring everything in sight! Suddenly her alarm goes off, I try to cover up this mess but I, OnlyFans message 6",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$34.99,34.99,2,57,10533,4956,0.0115,1994.43,1595.54,0.4024,0.3219,321.94,"😍 A new weigh-in and full body measurements! You're gonna love seeing my progress! NEW, 😍 You weren't expecting your blind date to be so huge! I'm stuffing my face and chugging soda until this belly is nice and bloated! Unlock 💨 🤤 burps and for the first time ever, I'll be farting right in your face! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$27.49,27.49,1,16,6842,1117,0.0143,439.84,351.87,0.3938,0.315,315.01,"🎃 🎃 50% OFF HALLOWEEN BUNDLE! 😱 Get into the season with this 4 video bundle! Sexy costumes, sultry ssttuuffiffinngg,, pov fucking, and tantalizing roleplays, I'll having you going NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$20.99,20.99,2,76,13692,4736,0.016,1595.24,1276.19,0.3368,0.2695,269.47,"Your neighbor comes over to hang out and watch a movie, but she reveals she wants something more! She wants you to fill her fat pussy 🥵 pregnant! NEW, 🧁 🥵 You surprised your girlfriend with her favorite treats and it turned out just how you planned - with her face and pussy stuffed",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$27.99,27.99,5,136,35044,13370,0.0102,3806.64,3045.31,0.2847,0.2278,227.77,"In town from college, you go to visit your best friend at his house. He isn't home yet, but his mom is... After sussing out your attraction to fat decides to show you just how to please one. Teasing you with her gorgeous soft body, she tell, This try-on is than just clothes, it’s a showcase of how much my body has grown! From modeling my current sexy favorites to ppuuffiffinngg while chatting about sizes and struggles, it’s as candid as it is hot. Watch me push into old oouuttf, I love how much I've gained over the years, and I thought you might want to hear how it's impacted the way I exercise. Hang out with me while 🏋🏻‍♀️ 💪 and chat about moving in a massive 530lb body!",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$28.99,28.99,1,24,5592,2621,0.0092,695.76,556.61,0.2655,0.2124,212.37,Nothing shows my gains off better than trying to squeeze my way behind the wheel! Unlock if you love watching me stuff my face until I'm NEW,OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$13.99,13.99,2,50,5137,2914,0.0172,699.5,559.6,0.24,0.192,192.04,"OnlyFans message 81, 🥵 The hot hotel clerk gives you the best customer service of your life! I'm such a slut for you in this sexy pov! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$11.99,11.99,11,221,18575,11075,0.02,2649.79,2119.83,0.2393,0.1914,191.41,"🍆 I'm always horny in the morning! Use this discount and come give me that morning wood! NEW, 😘 Wanna be my friend with benefits? Here's a special discount for this pov solo! NEW, 🤭 My fatass was not made for exercise! I thought you might like to watch me huff and puff anyway so here's a little discount! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$16.99,16.99,4,102,14327,7315,0.0139,1732.98,1386.39,0.2369,0.1895,189.53,"🤭 You've come home from a business trip to find your wife looking HUGE! She doesn't think she's changed at all. Do you think you can talk complete weight gain denial?? NEW, 💦 You know she's a keeper when she squirts on the first date! NEW, 😘 Your girlfriend satisfies your ultimate fantasy by growing into a 14-foot giantess! Unlock if you would climb my soft mountainous body! NEW",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
$31.99,31.99,1,25,7009,3452,0.0072,799.75,639.8,0.2317,0.1853,185.34,"You're seated across from the nightmare Thanksgiving guest, and you can't take your eyes off of her! She's ssttuuffiffinngg her face until her belly 🤤 waistband and snaps if anyone else even tries to touch the feast. You didn't have a bite",OF PPV tier summary excludes direct one-to-one messages and rows with fewer than 25 viewed messages; use net per viewed message rather than purchases alone.
