calendar_type,date,title,status,priority,days_from_today,days_live,canonical_content_id,content_group,platforms,sales,lifetime_gross,lifetime_net,latest_7_net,mtd_net,ytd_net,net_per_day,first_offered_basis,first_offered_confidence,promo_angle,target_platforms,price_plan,price_tier,test_type,hypothesis,success_metric,notes,source
Planned,2026-07-20,Untitled July Release 2,target release,medium,4,,,Planned,,,,,,,,,planned release date,planned,,,,,,,,Target release date; title TBD.,planned_releases.csv
Planned,2026-07-23,Film Untitled July Release 3,filming,high,7,,,Planned,,,,,,,,,planned release date,planned,,,,,,,,Film day for the July 30 release.,planned_releases.csv
Planned,2026-07-30,Untitled July Release 3,target release,medium,14,,,Planned,,,,,,,,,planned release date,planned,,,,,,,,Target release date; title TBD.,planned_releases.csv
Released,2018-01-10,Squirting and Fishnets,released,,-3109,3110,Video 0024,Video,ManyVids,1,4.98,2.99,,,2.99,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2018-03-02,Squeaky Chair Big Girl,released,,-3058,3059,Video 0027,Video,ManyVids,1,4.98,2.99,,,2.99,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2018-06-20,Hitachi Makes Me Squirt,released,,-2948,2949,Video 0031,Video,ManyVids,2,9.97,5.98,,,5.98,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2018-10-11,Big Horny Housewife,released,,-2835,2836,Video 0035,Video,ManyVids,6,29.9,17.94,,,17.94,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2018-11-19,Fat Goddess Fucks Pussy,released,,-2796,2797,Video 0037,Video,ManyVids,3,14.95,8.97,,,8.97,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2018-12-01,Lady Needs Your Cum,released,,-2784,2785,Video 0038,Video,ManyVids,1,4.98,2.99,,,2.99,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-02-18,I Need V-day Dick,released,,-2705,2706,Video 0041,Video,ManyVids,2,9.97,5.98,,,5.98,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-03-21,Lady in Black,released,,-2674,2675,Video 0042,Video,ManyVids,3,14.95,8.97,,,8.97,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-04-30,Lady Loves to Play,released,,-2634,2635,Video 0045,Video,ManyVids,1,4.98,2.99,,,2.99,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-05-28,Fat Girl in Skimpy Lingerie,released,,-2606,2607,Video 0047,Video,ManyVids,3,14.95,8.97,,,8.97,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-07-26,Sexy Soft Curves,released,,-2547,2548,Video 0049,Video,ManyVids,2,9.97,5.98,,,5.98,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-08-07,Jack Off To My Fat,released,,-2535,2536,Video 0050,Video,ManyVids,1,4.98,2.99,,,2.99,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-09-03,Bouncing Twerking and Grinding,released,,-2508,2509,Video 0052,Video,ManyVids,1,4.98,2.99,,,2.99,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-09-20,Devouring Powdered Donuts,released,,-2491,2492,Video 0054,Video,ManyVids,1,4.98,2.99,,,2.99,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-10-05,Chubby Squirting Pussy,released,,-2476,2477,Video 0056,Video,ManyVids,4,19.93,11.96,,,11.96,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-10-23,Touring My Fat Jiggly Body,released,,-2458,2459,Video 0057,Video,ManyVids,2,9.97,5.98,,,5.98,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-10-24,Begging for Your Cock,released,,-2457,2458,Video 0058,Video,"ManyVids, OnlyFans",2,23.98,18.19,,,2.99,0.01,master content release date,high,,"ManyVids, OnlyFans",,,,,,,content_group_summary
Released,2019-11-01,Not in Kansas,released,,-2449,2450,Video 0059,Video,ManyVids,5,24.92,14.95,,,14.95,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-11-13,Fuck Me POV,released,,-2437,2438,Video 0061,Video,"ManyVids, ModelCentro",2,19.97,13.1,,,13.1,0.01,master content release date,high,,"ManyVids, ModelCentro",,,,,,,content_group_summary
Released,2019-11-19,50 Wing Binge,released,,-2431,2432,Video 0062,Video,ManyVids,2,9.97,5.98,2.99,2.99,5.98,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2019-11-19,Juicy Pussy Play,released,,-2431,2432,Video 0063,Video,ManyVids,1,4.98,2.99,,,2.99,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-01-14,Fatty in the Shower,released,,-2375,2376,Video 0069,Video,ManyVids,1,9.98,5.99,,,5.99,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-04-01,BBW Twerks and Fucks With Toy,released,,-2297,2298,Video 0077,Video,ModelCentro,3,38.97,26.28,,8.76,26.28,0.01,master content release date,high,,ModelCentro,,,,,,,content_group_summary
Released,2020-04-05,Fat Stripper Gives You a Lapdance,released,,-2293,2294,Video 0078,Video,ManyVids,3,32.95,19.77,,,19.77,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-04-11,Horny Pillow Grinding,released,,-2287,2288,Video 0079,Video,ManyVids,1,8.98,5.39,,,5.39,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-04-19,Cum in My Hairy Pussy,released,,-2279,2280,Video 0080,Video,"ManyVids, ModelCentro",2,15.97,10.33,,,10.33,0.0,master content release date,high,,"ManyVids, ModelCentro",,,,,,,content_group_summary
Released,2020-04-25,Flopping My Fat Around,released,,-2273,2274,Video 0082,Video,ManyVids,1,7.98,4.79,,,4.79,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-06-07,400lbs Bouncing on Your Cock,released,,-2230,2231,Video 0090,Video,ManyVids,1,7.98,4.79,,,4.79,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-06-14,POV Fucking and Sucking,released,,-2223,2224,Video 0092,Video,ManyVids,2,23.97,14.38,,,14.38,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-07-13,Huge Twerking Ass and Dripping Chubby Pussy,released,,-2194,2195,Video 0095,Video,ManyVids,1,11.98,7.19,,,7.19,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-07-21,Fattened Up For Master,released,,-2186,2187,Video 0096,Video,ManyVids,1,19.98,11.99,,11.99,11.99,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-07-26,Tight Dress Belly Bouncing,released,,-2181,2182,Video 0097,Video,ManyVids,2,11.97,7.18,,,7.18,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-08-05,Fattened Up For Master Part II,released,,-2171,2172,Video 0099,Video,ManyVids,1,19.98,11.99,,,11.99,0.01,master content release date,high,,ManyVids,,,,,,,content_group_summary
Released,2020-08-23,Hot Pink Catwalk and Fat Bouncing,released,,-2153,2154,Video 0102,Video,ManyVids,2,15.97,9.58,,,9.58,0.0,master content release date,high,,ManyVids,,,,,,,content_group_summary
