canonical_content_id,canonical_title,content_group,release_date,match_status,mapping_status,listed_platforms,priced_platforms,platform_list,total_sales,total_gross,total_net,avg_net,c4s_sales,c4s_gross,c4s_net,curvage_sales,curvage_gross,curvage_net,manyvids_sales,manyvids_gross,manyvids_net,onlyfans_sales,onlyfans_gross,onlyfans_net,modelcentro_sales,modelcentro_gross,modelcentro_net,first_offered_date,latest_date,source_rows,debug_note
Video 0289,Best Friend's Mom Teases You,Video,2026-05-21,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",195,4761.8,3492.19,17.91,5,139.92,83.95,87,1739.13,1286.73,33,923.45,554.07,70,1959.3,1567.44,0,0.0,0.0,2026-05-21,2026-07-16,69,catalog video row; platform revenue split from content_group_summary
Video 0282,Diet Pills Gone Wrong,Video,2026-02-22,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids, OnlyFans",227,3842.65,2852.13,12.56,0,0.0,0.0,161,2853.43,2114.7,18,269.7,161.82,48,719.52,575.61,0,0.0,0.0,2026-02-22,2026-07-16,74,catalog video row; platform revenue split from content_group_summary
Video 0283,HR Fatty Makes You Her Feeder POV,Video,2026-03-04,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids, OnlyFans",180,2914.93,2170.86,12.06,0,0.0,0.0,133,1975.47,1463.26,11,219.82,131.89,36,719.64,575.71,0,0.0,0.0,2026-03-04,2026-07-16,63,catalog video row; platform revenue split from content_group_summary
Video 0285,Exercise After Gaining,Video,2026-04-06,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",82,2640.37,1954.36,23.83,1,27.98,16.79,57,1940.68,1439.38,7,195.88,117.53,17,475.83,380.66,0,0.0,0.0,2026-04-06,2026-07-09,39,catalog video row; platform revenue split from content_group_summary
Video 0284,Stuffed Girlfriend Gets Gassy,Video,2026-03-11,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",110,2499.85,1856.84,16.88,1,19.98,11.99,83,1960.17,1453.07,6,119.9,71.94,20,399.8,319.84,0,0.0,0.0,2026-03-11,2026-07-06,41,catalog video row; platform revenue split from content_group_summary
Video 0288,Gaining SSBBW Wants to Reach 600lbs,Video,2026-05-04,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",110,2392.08,1768.06,16.07,1,19.98,11.99,66,1512.62,1120.44,13,259.78,155.87,30,599.7,479.76,0,0.0,0.0,2026-05-04,2026-07-08,44,catalog video row; platform revenue split from content_group_summary
Video 0291,Greedy SSBBW Devours Roommates Leftovers,Video,2026-06-27,Auto exact-title match,mapped,"Clips4Sale, Curvage, ManyVids","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids",59,2182.35,1576.71,26.72,1,36.98,22.19,50,1849.5,1377.0,8,295.87,177.52,0,0.0,0.0,0,0.0,0.0,2026-06-27,2026-07-15,26,catalog video row; platform revenue split from content_group_summary
Video 0281,Gassy Giantess Gobbles You Up,Video,2026-01-30,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Clips4Sale, Curvage, ManyVids, OnlyFans",74,2069.14,1562.12,21.11,1,24.98,14.99,31,994.62,737.48,6,149.9,89.94,36,899.64,719.71,0,0.0,0.0,2026-01-30,2026-07-14,28,catalog video row; platform revenue split from content_group_summary
Video 0279,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,Video,2025-12-01,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids",39,1628.2,1198.77,30.74,0,0.0,0.0,37,1564.23,1160.39,2,63.97,38.38,0,0.0,0.0,0,0.0,0.0,2025-12-01,2026-07-05,36,catalog video row; platform revenue split from content_group_summary
Video 0271,Co-workers' Revenge: Cake Stuffing and Rapid Growth,Video,2025-07-21,Manual confirmed match,mapped,"Clips4Sale, Curvage, ManyVids, ModelCentro","C4S, ManyVids, Curvage","Curvage, ManyVids",42,1549.38,1133.24,26.98,0,0.0,0.0,38,1437.45,1066.08,4,111.93,67.16,0,0.0,0.0,0,0.0,0.0,2025-07-21,2026-07-16,39,catalog video row; platform revenue split from content_group_summary
